what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376528415468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1376528419300
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376528420654
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376528421789
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1376528434087
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1376528452397
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1376528458576
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376528460153
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376528462288
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376528462892
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376528465577
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1376528477247
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1376528486605
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376528486973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376528488520
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376528493977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376528495654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376528499449
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376528500500
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1376528502714
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1376528504650
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376528505342
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376528506241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376528512242
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376528513836
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1376528516183
