what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374072568714
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374072571229
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374072572225
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RemoveAllBreakpoints",1374072572245
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1374072574550
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374072583334
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374072584275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374072597515
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374072599704
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374072610460
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374072613811
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374072615078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374072616638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374072617518
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374072617976
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1374072619606
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1374072622187
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374072646630
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374072687229
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374072688212
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374072689108
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1374072691215
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374072712295
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374072717220
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374072749234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374072750853
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374072753804
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1374072757080
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374072776086
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374072779630
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1374072781755
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1374072785275
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1374072787175
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1374072789906
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374072803887
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374072825218
