what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247134295
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1330247135284
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1330247143677
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1330247144971
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1330247147250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247149207
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247150151
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247150763
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247167759
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1330247189731
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1330247197555
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247216187
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247218178
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1330247219561
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247225427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247226302
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247226690
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247235258
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1330247237496
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1330247245285
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247249424
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247253472
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1330247265051
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1330247265323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247266994
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247267797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247267943
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247268698
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247273609
activated,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.layout.LayoutEditor",1330247275272
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1330247277452
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1330247277743
activated,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.layout.LayoutEditor",1330247277900
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1330247282212
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1330247283103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1330247284037
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1330247285307
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247289922
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247587705
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247589149
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247668116
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247668910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247677439
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247679519
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247685192
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1330247692618
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1330247692801
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1330247694834
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1330247699194
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1330247707218
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1330247708866
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247709830
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247722893
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1330247725136
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1330247726837
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247730063
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247753275
activated,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1330247755109
activated,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.layout.LayoutEditor",1330247756328
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1330247761399
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247761855
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1330247761881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330247763516
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1330247763852
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.add.block.comment",1330247771377
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1330247772338
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1330247772701
activated,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.layout.LayoutEditor",1330247774076
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1330247775636
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1330247776282
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1330247777530
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1330247778093
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1330247792655
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1330247794178
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1330247794731
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1330247796197
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1330247797215
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1330247797423
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1330247797607
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1330247797789
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1330247799481
