what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371971207285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371971209399
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371971213584
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371971216760
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371971219657
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371971223101
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371971227385
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1371971235636
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371971236008
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371971249958
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371971250393
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371971252048
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371971264335
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371971265100
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371971268078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1371971269388
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1371971270487
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371971271387
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371971284431
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1371971287844
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371971288735
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371971289155
