what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988227148
started,bundle,com.android.ide.eclipse.ndk,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ndk",1371988228215
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1371988228743
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371988229439
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988237028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988239157
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988245433
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988246916
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988252528
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988254998
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371988259545
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988262835
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988262963
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371988263686
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1371988264629
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371988265622
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371988268204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988269627
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988272919
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988287347
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988300797
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371988303553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988305035
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988308569
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371988318589
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988320406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988322567
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988323919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988324781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371988326746
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371988328260
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371988328712
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988342509
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988343966
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371988345789
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371988366793
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371988370457
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371988374404
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988375949
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988381277
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371988393095
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371988393912
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371988395311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988398750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988401916
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988407118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988407945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988412111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988416241
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371988419804
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988423738
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988427227
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371988429187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988436168
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988437964
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988438980
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988440112
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988445373
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988446307
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371988448044
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1371988454545
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1371988455227
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371988457404
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371988457816
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371988460142
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371988460615
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371988461098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371988461617
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371988462060
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371988462648
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371988464132
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988464883
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988469431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988488283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988489159
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988492675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988494109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988515225
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988520689
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371988525889
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1371988526762
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371988527540
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988529988
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988920640
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371988922429
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996263120
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371996265767
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996269577
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996348262
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996350551
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996361026
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996365339
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996367123
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371996372742
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996377651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996382231
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996390021
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996390132
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996391531
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996394027
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996406963
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996408749
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996414284
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996418256
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996422898
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996424363
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996431163
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996432514
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996435489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996437488
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996444429
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996445926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996450812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996452499
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996458305
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996460876
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996466846
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996469439
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996476143
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996478020
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996483764
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996484957
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996487900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996496763
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996497773
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996499824
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996505984
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996507088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996511001
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996516093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996520327
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996522301
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996530926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996533242
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996535956
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996537998
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996538678
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996540226
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996546337
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996550807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996563958
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996564124
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996565010
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996569390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996583788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996596949
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996606532
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996607783
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996610669
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996613273
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996614469
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996615436
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371996618208
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996625525
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996626572
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996631605
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996633244
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996634207
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996637377
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996648436
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996655980
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996658541
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996663730
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371996666807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371996669859
