what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984167492
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1371984171611
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371984172925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984174535
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984179780
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1371984185040
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371984186059
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984189361
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984209208
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984210071
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984213501
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984217208
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984221136
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984230272
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984232506
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1371984239257
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371984241065
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984243436
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984259031
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984270893
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984272546
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984276582
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984278453
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984282794
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984288595
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371984293615
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371984314867
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984320069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984324225
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371984333728
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984355442
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984366579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984377784
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984384816
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984399847
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984400692
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371984401358
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984413988
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984416979
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984427629
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984429602
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1371984432878
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371984433499
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1371984438449
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371984439365
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1371984440583
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984442205
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984445774
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1371984448564
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371984449893
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1371984451603
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371984452001
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1371984453544
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371984453939
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1371984455145
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371984455535
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1371984456845
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371984457219
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984467367
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984471487
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984474942
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984476389
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1371984479799
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371984480644
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984501737
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984503338
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1371984505469
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371984506177
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371984509046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984516076
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984517423
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984521058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984541479
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984547473
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984548619
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984562965
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984564289
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371984565020
