what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1330145659631
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1330145662814
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1330145690083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1330145693318
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1330145701499
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1330145707351
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1330145718292
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1330145727503
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1330145727835
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1330145731833
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1330145733194
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330145737008
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330151493807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330151497441
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330151531908
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1330151533886
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330151536650
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330151551748
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330151554705
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330151582020
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1330151582312
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1330151582380
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330151585253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330151637917
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1330151639103
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330151640919
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1330151641040
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330151642249
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1330151642307
