what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1329823795865
error,log,,,"Failed to call IFileListener.fileChanged",1329823796048
error,log,,,"Failed to call IFileListener.fileChanged",1329823796385
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329823797265
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329823800884
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329823800966
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1329823801046
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329823822944
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329823832778
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329823832851
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329823835541
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1329823836378
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329823839168
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329823851894
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1329823853876
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329823856155
error,log,,,"Failed to call IFileListener.fileChanged",1329823867103
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329823867672
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1329823867710
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329823881876
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329823890958
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1329823895056
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1329823895327
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329823895403
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329823920238
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329823921730
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1329823921735
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1329823921735
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329823929227
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329823931850
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1329823937435
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329823937936
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329823944534
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329823944732
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329823947176
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329823947751
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329823958426
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329823966711
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1329823967723
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329823972481
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329823975067
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1329823975072
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1329823980622
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329823985154
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1329823988379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329823988412
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329823992023
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329823992203
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329823996415
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1329823997551
